"name","url","source"
"unicity-astrid/astrid","https://github.com/unicity-astrid/astrid","manual_checklist_x"
"JoshuaC215/agent-service-toolkit","https://github.com/JoshuaC215/agent-service-toolkit","manual_checklist_x"
"ArcReel/ArcReel","https://github.com/ArcReel/ArcReel","manual_checklist_x"
"google/ax","https://github.com/google/ax","manual_checklist_x"
"YiVal/YiVal","https://github.com/YiVal/YiVal","readme_recovered_agent"
"esengine/DeepSeek-Reasonix","https://github.com/esengine/DeepSeek-Reasonix","manual_checklist_x"
"24mlight/A_Share_investment_Agent","https://github.com/24mlight/A_Share_investment_Agent","manual_checklist_x"
"yomorun/yomo","https://github.com/yomorun/yomo","manual_checklist_x"
"oxylabs/browser-agent-py","https://github.com/oxylabs/browser-agent-py","manual_checklist_x"
"leon-ai/leon","https://github.com/leon-ai/leon","readme_recovered_agent"
"collabs-inc/collab-public","https://github.com/collabs-inc/collab-public","manual_checklist_x"
"ModelEngine-Group/nexent","https://github.com/ModelEngine-Group/nexent","manual_checklist_x"
"Memento-Teams/Memento","https://github.com/Memento-Teams/Memento","manual_checklist_x"
"lightdash/lightdash","https://github.com/lightdash/lightdash","uncertain_audit_yes"
"aegra/aegra","https://github.com/aegra/aegra","manual_checklist_x"
"gi-dellav/zerostack","https://github.com/gi-dellav/zerostack","manual_checklist_x"
"GreenSheep01201/claw-empire","https://github.com/GreenSheep01201/claw-empire","manual_checklist_x"
"lmnr-ai/index","https://github.com/lmnr-ai/index","manual_checklist_x"
"iflytek/astron-agent","https://github.com/iflytek/astron-agent","manual_checklist_x"
"kite-org/kite","https://github.com/kite-org/kite","readme_recovered_agent"
"OpenPipe/ART","https://github.com/OpenPipe/ART","uncertain_audit_boundary_yes"
"anthropics/claude-agent-sdk-typescript","https://github.com/anthropics/claude-agent-sdk-typescript","manual_checklist_x"
"Lynpoint/CyberVerse","https://github.com/Lynpoint/CyberVerse","manual_checklist_x"
"ggeop/Python-ai-assistant","https://github.com/ggeop/Python-ai-assistant","readme_recovered_agent"
"YaoApp/yao","https://github.com/YaoApp/yao","readme_recovered_agent"
"getzep/graphiti","https://github.com/getzep/graphiti","manual_checklist_x"
"pydantic/pydantic-ai","https://github.com/pydantic/pydantic-ai","manual_checklist_x"
"666ghj/BettaFish","https://github.com/666ghj/BettaFish","manual_checklist_x"
"aden-hive/hive","https://github.com/aden-hive/hive","manual_checklist_x"
"rinadelph/Agent-MCP","https://github.com/rinadelph/Agent-MCP","readme_recovered_agent"
"botpress/botpress","https://github.com/botpress/botpress","manual_checklist_x"
"MiniMax-AI/Mini-Agent","https://github.com/MiniMax-AI/Mini-Agent","uncertain_audit_yes"
"Danau5tin/multi-agent-coding-system","https://github.com/Danau5tin/multi-agent-coding-system","manual_checklist_x"
"vectorize-io/self-driving-agents","https://github.com/vectorize-io/self-driving-agents","manual_checklist_x"
"octos-org/octos","https://github.com/octos-org/octos","manual_checklist_x"
"iOfficeAI/AionUi","https://github.com/iOfficeAI/AionUi","manual_checklist_x"
"Farama-Foundation/PettingZoo","https://github.com/Farama-Foundation/PettingZoo","manual_checklist_x"
"ExplosiveCoderflome/AI-Novel-Writing-Assistant","https://github.com/ExplosiveCoderflome/AI-Novel-Writing-Assistant","manual_checklist_x"
"micro/go-micro","https://github.com/micro/go-micro","manual_checklist_x"
"code-yeongyu/lazycodex","https://github.com/code-yeongyu/lazycodex","manual_checklist_x"
"stakpak/agent","https://github.com/stakpak/agent","manual_checklist_x"
"withastro/flue","https://github.com/withastro/flue","manual_checklist_x"
"linyiLYi/snake-ai","https://github.com/linyiLYi/snake-ai","manual_checklist_x"
"1jehuang/jcode","https://github.com/1jehuang/jcode","manual_checklist_x"
"letta-ai/letta","https://github.com/letta-ai/letta","uncertain_audit_yes"
"Yeachan-Heo/oh-my-claudecode","https://github.com/Yeachan-Heo/oh-my-claudecode","manual_checklist_x"
"corbt/agent.exe","https://github.com/corbt/agent.exe","manual_checklist_x"
"Agent-41","redacted","readme_recovered_agent"
"anthropics/claude-agent-sdk-python","https://github.com/anthropics/claude-agent-sdk-python","uncertain_audit_boundary_yes"
"smol-ai/developer","https://github.com/smol-ai/developer","uncertain_audit_boundary_yes"
"Xiangyue-Zhang/auto-deep-researcher-24x7","https://github.com/Xiangyue-Zhang/auto-deep-researcher-24x7","manual_checklist_x"
"TabbyML/tabby","https://github.com/TabbyML/tabby","readme_recovered_agent"
"ucbepic/docetl","https://github.com/ucbepic/docetl","readme_recovered_agent"
"spring-ai-alibaba/DataAgent","https://github.com/spring-ai-alibaba/DataAgent","readme_recovered_agent"
"moazbuilds/CodeMachine-CLI","https://github.com/moazbuilds/CodeMachine-CLI","manual_checklist_x"
"nrwl/nx","https://github.com/nrwl/nx","manual_checklist_x"
"Kocoro-lab/Shannon","https://github.com/Kocoro-lab/Shannon","manual_checklist_x"
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","manual_checklist_x"
"McGill-NLP/webllama","https://github.com/McGill-NLP/webllama","manual_checklist_x"
"mattzcarey/shippie","https://github.com/mattzcarey/shippie","uncertain_audit_yes"
"olaxbt/ai-market-maker","https://github.com/olaxbt/ai-market-maker","manual_checklist_x"
"magnitudedev/browser-agent","https://github.com/magnitudedev/browser-agent","manual_checklist_x"
"LAION-AI/Open-Assistant","https://github.com/LAION-AI/Open-Assistant","readme_recovered_agent"
"bytedance/pasa","https://github.com/bytedance/pasa","readme_recovered_agent"
"TurixAI/TuriX-CUA","https://github.com/TurixAI/TuriX-CUA","manual_checklist_x"
"HKUDS/DeepCode","https://github.com/HKUDS/DeepCode","manual_checklist_x"
"patched-codes/patchwork","https://github.com/patched-codes/patchwork","manual_checklist_x"
"nanbingxyz/5ire","https://github.com/nanbingxyz/5ire","readme_recovered_agent"
"sweepai/sweep","https://github.com/sweepai/sweep","uncertain_audit_yes"
"huangjunsen0406/py-xiaozhi","https://github.com/huangjunsen0406/py-xiaozhi","readme_recovered_agent"
"liliMozi/openhanako","https://github.com/liliMozi/openhanako","manual_checklist_x"
"darkzOGx/youtube-automation-agent","https://github.com/darkzOGx/youtube-automation-agent","manual_checklist_x"
"OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","manual_checklist_x"
"Eigenwise/atomic-agents","https://github.com/Eigenwise/atomic-agents","manual_checklist_x"
"Zoo-Code-Org/Zoo-Code","https://github.com/Zoo-Code-Org/Zoo-Code","manual_checklist_x"
"outsourc-e/hermes-workspace","https://github.com/outsourc-e/hermes-workspace","manual_checklist_x"
"proma-ai/Proma","https://github.com/proma-ai/Proma","readme_recovered_agent"
"google-antigravity/antigravity-sdk-python","https://github.com/google-antigravity/antigravity-sdk-python","manual_checklist_x"
"stephengpope/thepopebot","https://github.com/stephengpope/thepopebot","manual_checklist_x"
"relaticle/relaticle","https://github.com/relaticle/relaticle","manual_checklist_x"
"langchain-ai/langgraph-swarm-py","https://github.com/langchain-ai/langgraph-swarm-py","manual_checklist_x"
"alibaba/page-agent","https://github.com/alibaba/page-agent","manual_checklist_x"
"vastxie/99AI","https://github.com/vastxie/99AI","manual_checklist_x"
"Infatoshi/OpenSquirrel","https://github.com/Infatoshi/OpenSquirrel","manual_checklist_x"
"danielmiessler/LifeOS","https://github.com/danielmiessler/LifeOS","manual_checklist_x"
"cheshire-cat-ai/core","https://github.com/cheshire-cat-ai/core","manual_checklist_x"
